"scaffold","missing.filter","mask.filter","num.windows","perc.orig.windows"
"NC_050078.2",0,5,2,0.000249906285143071
"NC_050079.1",0,5,2,0.000451977401129943
"NC_050080.1",0,5,6,0.00145772594752187
"NC_050081.1",0,5,13,0.00324756432675493
"NC_050082.1",0,5,1,0.000301204819277108
"NC_050083.1",0,5,1,0.000378644452858766
"NC_050084.1",0,5,0,0
"NC_050085.1",0,5,1,0.00042247570764681
"NC_050086.2",0,5,0,0
"NC_050087.2",0,5,1,0.000520562207183758
"NC_050088.1",0,5,1,0.000530222693531283
"NC_050089.1",0,5,0,0
"NC_050090.1",0,5,1,0.000580383052814858
"NC_050091.1",0,5,4,0.00235849056603774
"NC_050092.1",0,5,1,0.000606796116504854
"NC_050093.1",0,5,0,0
"NC_050094.1",0,5,1,0.000613496932515337
"NC_050095.1",0,5,2,0.0029673590504451
"NC_050068.2",0,6,55,0.00155165604017379
"NC_050069.1",0,6,51,0.00187011844083459
"NC_050070.1",0,6,30,0.00141396050336994
"NC_050071.1",0,6,11,0.000750699515457585
"NC_050072.1",0,6,12,0.000872283201279349
"NC_050073.1",0,6,10,0.000762601998017235
"NC_050074.1",0,6,15,0.00117508813160987
"NC_050075.1",0,6,7,0.000640439158279963
"NC_050076.1",0,6,7,0.000665272761832351
"NC_050077.1",0,6,9,0.00104070305272895
"NC_050078.2",0,6,0,0
"NC_050079.1",0,6,1,0.000225988700564972
"NC_050080.1",0,6,5,0.00121477162293489
"NC_050081.1",0,6,4,0.000999250562078441
"NC_050082.1",0,6,1,0.000301204819277108
"NC_050083.1",0,6,0,0
"NC_050084.1",0,6,0,0
"NC_050085.1",0,6,0,0
"NC_050086.2",0,6,0,0
"NC_050087.2",0,6,1,0.000520562207183758
"NC_050088.1",0,6,0,0
"NC_050089.1",0,6,0,0
"NC_050090.1",0,6,1,0.000580383052814858
"NC_050091.1",0,6,3,0.0017688679245283
"NC_050092.1",0,6,0,0
"NC_050093.1",0,6,0,0
"NC_050094.1",0,6,0,0
"NC_050095.1",0,6,2,0.0029673590504451
"NC_050068.2",0,7,43,0.00121311290413587
"NC_050069.1",0,7,35,0.00128341461625903
"NC_050070.1",0,7,24,0.00113116840269595
"NC_050071.1",0,7,6,0.000409472462976865
"NC_050072.1",0,7,10,0.000726902667732791
"NC_050073.1",0,7,7,0.000533821398612064
"NC_050074.1",0,7,9,0.000705052878965922
"NC_050075.1",0,7,7,0.000640439158279963
"NC_050076.1",0,7,7,0.000665272761832351
"NC_050077.1",0,7,4,0.000462534690101758
"NC_050078.2",0,7,0,0
"NC_050079.1",0,7,1,0.000225988700564972
"NC_050080.1",0,7,4,0.000971817298347911
"NC_050081.1",0,7,2,0.000499625281039221
"NC_050082.1",0,7,1,0.000301204819277108
"NC_050083.1",0,7,0,0
"NC_050084.1",0,7,0,0
"NC_050085.1",0,7,0,0
"NC_050086.2",0,7,0,0
"NC_050087.2",0,7,1,0.000520562207183758
"NC_050088.1",0,7,0,0
"NC_050089.1",0,7,0,0
"NC_050090.1",0,7,1,0.000580383052814858
"NC_050091.1",0,7,1,0.000589622641509434
"NC_050092.1",0,7,0,0
"NC_050093.1",0,7,0,0
"NC_050094.1",0,7,0,0
"NC_050095.1",0,7,1,0.00148367952522255
"NC_050068.2",0,8,31,0.000874569768097952
"NC_050069.1",0,8,22,0.00080671775879139
"NC_050070.1",0,8,13,0.000612716218126974
"NC_050071.1",0,8,4,0.000272981641984577
"NC_050072.1",0,8,6,0.000436141600639674
"NC_050073.1",0,8,4,0.000305040799206894
"NC_050074.1",0,8,7,0.00054837446141794
"NC_050075.1",0,8,4,0.000365965233302836
"NC_050076.1",0,8,3,0.000285116897928151
"NC_050077.1",0,8,3,0.000346901017576318
"NC_050078.2",0,8,0,0
"NC_050079.1",0,8,0,0
"NC_050080.1",0,8,3,0.000728862973760933
"NC_050081.1",0,8,2,0.000499625281039221
"NC_050082.1",0,8,1,0.000301204819277108
"NC_050083.1",0,8,0,0
"NC_050084.1",0,8,0,0
"NC_050085.1",0,8,0,0
"NC_050086.2",0,8,0,0
"NC_050087.2",0,8,1,0.000520562207183758
"NC_050088.1",0,8,0,0
"NC_050089.1",0,8,0,0
"NC_050090.1",0,8,1,0.000580383052814858
"NC_050091.1",0,8,0,0
"NC_050092.1",0,8,0,0
"NC_050093.1",0,8,0,0
"NC_050094.1",0,8,0,0
"NC_050095.1",0,8,1,0.00148367952522255
"NC_050068.2",0,9,19,0.000536026632060035
"NC_050069.1",0,9,16,0.000586703824575556
"NC_050070.1",0,9,8,0.000377056134231984
"NC_050071.1",0,9,3,0.000204736231488432
"NC_050072.1",0,9,4,0.000290761067093116
"NC_050073.1",0,9,3,0.00022878059940517
"NC_050074.1",0,9,5,0.000391696043869957
"NC_050075.1",0,9,3,0.000274473924977127
"NC_050076.1",0,9,2,0.0001900779319521
"NC_050077.1",0,9,1,0.000115633672525439
"NC_050078.2",0,9,0,0
"NC_050079.1",0,9,0,0
"NC_050080.1",0,9,3,0.000728862973760933
"NC_050081.1",0,9,2,0.000499625281039221
"NC_050082.1",0,9,0,0
"NC_050083.1",0,9,0,0
"NC_050084.1",0,9,0,0
"NC_050085.1",0,9,0,0
"NC_050086.2",0,9,0,0
"NC_050087.2",0,9,1,0.000520562207183758
"NC_050088.1",0,9,0,0
"NC_050089.1",0,9,0,0
"NC_050090.1",0,9,1,0.000580383052814858
"NC_050091.1",0,9,0,0
"NC_050092.1",0,9,0,0
"NC_050093.1",0,9,0,0
"NC_050094.1",0,9,0,0
"NC_050095.1",0,9,0,0
"NC_050068.2",0,10,10,0.000282119280031597
"NC_050069.1",0,10,12,0.000440027868431667
"NC_050070.1",0,10,7,0.000329924117452986
"NC_050071.1",0,10,1,6.82454104961441e-05
"NC_050072.1",0,10,3,0.000218070800319837
"NC_050073.1",0,10,2,0.000152520399603447
"NC_050074.1",0,10,4,0.000313356835095966
"NC_050075.1",0,10,1,9.14913083257091e-05
"NC_050076.1",0,10,1,9.50389659760502e-05
"NC_050077.1",0,10,1,0.000115633672525439
"NC_050078.2",0,10,0,0
"NC_050079.1",0,10,0,0
"NC_050080.1",0,10,3,0.000728862973760933
"NC_050081.1",0,10,2,0.000499625281039221
"NC_050082.1",0,10,0,0
"NC_050083.1",0,10,0,0
"NC_050084.1",0,10,0,0
"NC_050085.1",0,10,0,0
"NC_050086.2",0,10,0,0
"NC_050087.2",0,10,1,0.000520562207183758
"NC_050088.1",0,10,0,0
"NC_050089.1",0,10,0,0
"NC_050090.1",0,10,1,0.000580383052814858
"NC_050091.1",0,10,0,0
"NC_050092.1",0,10,0,0
"NC_050093.1",0,10,0,0
"NC_050094.1",0,10,0,0
"NC_050095.1",0,10,0,0
"NC_050068.2",0,11,7,0.000197483496022118
"NC_050069.1",0,11,5,0.000183344945179861
"NC_050070.1",0,11,4,0.000188528067115992
"NC_050071.1",0,11,1,6.82454104961441e-05
"NC_050072.1",0,11,2,0.000145380533546558
"NC_050073.1",0,11,1,7.62601998017235e-05
"NC_050074.1",0,11,2,0.000156678417547983
"NC_050075.1",0,11,0,0
"NC_050076.1",0,11,1,9.50389659760502e-05
"NC_050077.1",0,11,1,0.000115633672525439
"NC_050078.2",0,11,0,0
"NC_050079.1",0,11,0,0
"NC_050080.1",0,11,2,0.000485908649173955
"NC_050081.1",0,11,2,0.000499625281039221
"NC_050082.1",0,11,0,0
"NC_050083.1",0,11,0,0
"NC_050084.1",0,11,0,0
"NC_050085.1",0,11,0,0
"NC_050086.2",0,11,0,0
"NC_050087.2",0,11,1,0.000520562207183758
"NC_050088.1",0,11,0,0
"NC_050089.1",0,11,0,0
"NC_050090.1",0,11,1,0.000580383052814858
"NC_050091.1",0,11,0,0
"NC_050092.1",0,11,0,0
"NC_050093.1",0,11,0,0
"NC_050094.1",0,11,0,0
"NC_050095.1",0,11,0,0
"NC_050068.2",1,0,25965,0.732522710602043
"NC_050069.1",1,0,19786,0.725532617065747
"NC_050070.1",1,0,15851,0.747089597963897
"NC_050071.1",1,0,10834,0.739370777315226
"NC_050072.1",1,0,9746,0.708439339972378
"NC_050073.1",1,0,8702,0.663616258674598
"NC_050074.1",1,0,8311,0.651077164120642
"NC_050075.1",1,0,7242,0.662580054894785
"NC_050076.1",1,0,6899,0.65567382626877
"NC_050077.1",1,0,5177,0.5986355226642
"NC_050078.2",1,0,5312,0.663751093339997
"NC_050079.1",1,0,2555,0.577401129943503
"NC_050080.1",1,0,2812,0.683187560738581
"NC_050081.1",1,0,2864,0.715463402448164
"NC_050082.1",1,0,1935,0.582831325301205
"NC_050083.1",1,0,1417,0.536539189700871
"NC_050084.1",1,0,1506,0.59221392056626
"NC_050085.1",1,0,1179,0.498098859315589
"NC_050086.2",1,0,1450,0.72391412880679
"NC_050087.2",1,0,1486,0.773555439875065
"NC_050088.1",1,0,1140,0.604453870625663
"NC_050089.1",1,0,879,0.4688
"NC_050090.1",1,0,1550,0.89959373186303
"NC_050091.1",1,0,1188,0.700471698113208
"NC_050092.1",1,0,1045,0.634101941747573
"NC_050093.1",1,0,975,0.591626213592233
"NC_050094.1",1,0,1137,0.697546012269939
"NC_050095.1",1,0,660,0.979228486646884
"NC_050068.2",1,1,12561,0.354370027647689
"NC_050069.1",1,1,9031,0.331157639983866
"NC_050070.1",1,1,7110,0.335108639298676
"NC_050071.1",1,1,4392,0.299733842899065
"NC_050072.1",1,1,4057,0.294904412299193
"NC_050073.1",1,1,3714,0.283230382063601
"NC_050074.1",1,1,2937,0.230082256169213
"NC_050075.1",1,1,2464,0.225434583714547
"NC_050076.1",1,1,2429,0.230849648355826
"NC_050077.1",1,1,1688,0.195189639222942
"NC_050078.2",1,1,1769,0.221042109209047
"NC_050079.1",1,1,823,0.185988700564972
"NC_050080.1",1,1,1011,0.245626822157434
"NC_050081.1",1,1,1124,0.280789407944042
"NC_050082.1",1,1,539,0.162349397590361
"NC_050083.1",1,1,486,0.18402120408936
"NC_050084.1",1,1,360,0.141565080613449
"NC_050085.1",1,1,383,0.161808196028728
"NC_050086.2",1,1,380,0.18971542685971
"NC_050087.2",1,1,443,0.230609057782405
"NC_050088.1",1,1,303,0.160657476139979
"NC_050089.1",1,1,209,0.111466666666667
"NC_050090.1",1,1,523,0.303540336622171
"NC_050091.1",1,1,415,0.244693396226415
"NC_050092.1",1,1,286,0.173543689320388
"NC_050093.1",1,1,199,0.120752427184466
"NC_050094.1",1,1,334,0.204907975460123
"NC_050095.1",1,1,426,0.632047477744807
"NC_050068.2",1,2,3611,0.10187327201941
"NC_050069.1",1,2,2451,0.0898756921271681
"NC_050070.1",1,2,1818,0.0856860065042183
"NC_050071.1",1,2,962,0.0656520848972907
"NC_050072.1",1,2,934,0.0678927091662426
"NC_050073.1",1,2,879,0.0670327156257149
"NC_050074.1",1,2,734,0.0575009792401097
"NC_050075.1",1,2,618,0.0565416285452882
"NC_050076.1",1,2,577,0.054837483368181
"NC_050077.1",1,2,400,0.0462534690101758
"NC_050078.2",1,2,367,0.0458578033237536
"NC_050079.1",1,2,170,0.0384180790960452
"NC_050080.1",1,2,179,0.043488824101069
"NC_050081.1",1,2,299,0.0746939795153635
"NC_050082.1",1,2,117,0.0352409638554217
"NC_050083.1",1,2,114,0.0431654676258993
"NC_050084.1",1,2,78,0.0306724341329139
"NC_050085.1",1,2,107,0.0452049007182087
"NC_050086.2",1,2,96,0.0479281078382426
"NC_050087.2",1,2,90,0.0468505986465383
"NC_050088.1",1,2,72,0.0381760339342524
"NC_050089.1",1,2,33,0.0176
"NC_050090.1",1,2,81,0.0470110272780035
"NC_050091.1",1,2,100,0.0589622641509434
"NC_050092.1",1,2,65,0.0394417475728155
"NC_050093.1",1,2,35,0.0212378640776699
"NC_050094.1",1,2,81,0.0496932515337423
"NC_050095.1",1,2,108,0.160237388724036
"NC_050068.2",1,3,1898,0.0535462393499972
"NC_050069.1",1,3,1328,0.0486964174397712
"NC_050070.1",1,3,950,0.0447754159400481
"NC_050071.1",1,3,486,0.033167269501126
"NC_050072.1",1,3,471,0.0342371156502144
"NC_050073.1",1,3,453,0.0345458705101807
"NC_050074.1",1,3,389,0.0304739522130826
"NC_050075.1",1,3,310,0.0283623055809698
"NC_050076.1",1,3,288,0.0273712222011025
"NC_050077.1",1,3,221,0.0255550416281221
"NC_050078.2",1,3,192,0.0239910033737348
"NC_050079.1",1,3,86,0.0194350282485876
"NC_050080.1",1,3,85,0.0206511175898931
"NC_050081.1",1,3,137,0.0342243317511866
"NC_050082.1",1,3,61,0.0183734939759036
"NC_050083.1",1,3,42,0.0159030670200682
"NC_050084.1",1,3,33,0.0129767990562328
"NC_050085.1",1,3,53,0.0223912125052809
"NC_050086.2",1,3,38,0.018971542685971
"NC_050087.2",1,3,32,0.0166579906298803
"NC_050088.1",1,3,35,0.0185577942735949
"NC_050089.1",1,3,12,0.0064
"NC_050090.1",1,3,32,0.0185722576900754
"NC_050091.1",1,3,43,0.0253537735849057
"NC_050092.1",1,3,28,0.0169902912621359
"NC_050093.1",1,3,13,0.00788834951456311
"NC_050094.1",1,3,37,0.0226993865030675
"NC_050095.1",1,3,58,0.086053412462908
"NC_050068.2",1,4,143,0.00403430570445184
"NC_050069.1",1,4,94,0.00344688496938139
"NC_050070.1",1,4,61,0.00287505302351888
"NC_050071.1",1,4,29,0.00197911690438818
"NC_050072.1",1,4,25,0.00181725666933198
"NC_050073.1",1,4,33,0.00251658659345687
"NC_050074.1",1,4,28,0.00219349784567176
"NC_050075.1",1,4,17,0.00155535224153705
"NC_050076.1",1,4,21,0.00199581828549705
"NC_050077.1",1,4,19,0.00219703977798335
"NC_050078.2",1,4,6,0.000749718855429214
"NC_050079.1",1,4,4,0.000903954802259887
"NC_050080.1",1,4,15,0.00364431486880466
"NC_050081.1",1,4,20,0.00499625281039221
"NC_050082.1",1,4,3,0.000903614457831325
"NC_050083.1",1,4,1,0.000378644452858766
"NC_050084.1",1,4,0,0
"NC_050085.1",1,4,3,0.00126742712294043
"NC_050086.2",1,4,1,0.000499251123315027
"NC_050087.2",1,4,3,0.00156168662155128
"NC_050088.1",1,4,1,0.000530222693531283
"NC_050089.1",1,4,0,0
"NC_050090.1",1,4,3,0.00174114915844457
"NC_050091.1",1,4,3,0.0017688679245283
"NC_050092.1",1,4,1,0.000606796116504854
"NC_050093.1",1,4,0,0
"NC_050094.1",1,4,1,0.000613496932515337
"NC_050095.1",1,4,5,0.00741839762611276
"NC_050068.2",1,5,77,0.0021723184562433
"NC_050069.1",1,5,64,0.00234681529830223
"NC_050070.1",1,5,37,0.00174388462082292
"NC_050071.1",1,5,18,0.00122841738893059
"NC_050072.1",1,5,17,0.00123573453514574
"NC_050073.1",1,5,17,0.0012964233966293
"NC_050074.1",1,5,17,0.00133176654915785
"NC_050075.1",1,5,11,0.0010064043915828
"NC_050076.1",1,5,10,0.000950389659760502
"NC_050077.1",1,5,12,0.00138760407030527
"NC_050078.2",1,5,2,0.000249906285143071
"NC_050079.1",1,5,2,0.000451977401129943
"NC_050080.1",1,5,6,0.00145772594752187
"NC_050081.1",1,5,13,0.00324756432675493
"NC_050082.1",1,5,1,0.000301204819277108
"NC_050083.1",1,5,1,0.000378644452858766
"NC_050084.1",1,5,0,0
"NC_050085.1",1,5,1,0.00042247570764681
"NC_050086.2",1,5,0,0
"NC_050087.2",1,5,1,0.000520562207183758
"NC_050088.1",1,5,1,0.000530222693531283
"NC_050089.1",1,5,0,0
"NC_050090.1",1,5,1,0.000580383052814858
"NC_050091.1",1,5,2,0.00117924528301887
"NC_050092.1",1,5,1,0.000606796116504854
"NC_050093.1",1,5,0,0
"NC_050094.1",1,5,1,0.000613496932515337
"NC_050095.1",1,5,2,0.0029673590504451
"NC_050068.2",1,6,55,0.00155165604017379
"NC_050069.1",1,6,50,0.00183344945179861
"NC_050070.1",1,6,30,0.00141396050336994
"NC_050071.1",1,6,11,0.000750699515457585
"NC_050072.1",1,6,11,0.00079959293450607
"NC_050073.1",1,6,10,0.000762601998017235
"NC_050074.1",1,6,15,0.00117508813160987
"NC_050075.1",1,6,7,0.000640439158279963
"NC_050076.1",1,6,7,0.000665272761832351
"NC_050077.1",1,6,9,0.00104070305272895
"NC_050078.2",1,6,0,0
"NC_050079.1",1,6,1,0.000225988700564972
"NC_050080.1",1,6,5,0.00121477162293489
"NC_050081.1",1,6,4,0.000999250562078441
"NC_050082.1",1,6,1,0.000301204819277108
"NC_050083.1",1,6,0,0
"NC_050084.1",1,6,0,0
"NC_050085.1",1,6,0,0
"NC_050086.2",1,6,0,0
"NC_050087.2",1,6,1,0.000520562207183758
"NC_050088.1",1,6,0,0
"NC_050089.1",1,6,0,0
"NC_050090.1",1,6,1,0.000580383052814858
"NC_050091.1",1,6,1,0.000589622641509434
"NC_050092.1",1,6,0,0
"NC_050093.1",1,6,0,0
"NC_050094.1",1,6,0,0
"NC_050095.1",1,6,2,0.0029673590504451
"NC_050068.2",1,7,43,0.00121311290413587
"NC_050069.1",1,7,35,0.00128341461625903
"NC_050070.1",1,7,24,0.00113116840269595
"NC_050071.1",1,7,6,0.000409472462976865
"NC_050072.1",1,7,9,0.000654212400959512
"NC_050073.1",1,7,7,0.000533821398612064
"NC_050074.1",1,7,9,0.000705052878965922
"NC_050075.1",1,7,7,0.000640439158279963
"NC_050076.1",1,7,7,0.000665272761832351
"NC_050077.1",1,7,4,0.000462534690101758
"NC_050078.2",1,7,0,0
"NC_050079.1",1,7,1,0.000225988700564972
"NC_050080.1",1,7,4,0.000971817298347911
"NC_050081.1",1,7,2,0.000499625281039221
"NC_050082.1",1,7,1,0.000301204819277108
"NC_050083.1",1,7,0,0
"NC_050084.1",1,7,0,0
"NC_050085.1",1,7,0,0
"NC_050086.2",1,7,0,0
"NC_050087.2",1,7,1,0.000520562207183758
"NC_050088.1",1,7,0,0
"NC_050089.1",1,7,0,0
"NC_050090.1",1,7,1,0.000580383052814858
"NC_050091.1",1,7,0,0
"NC_050092.1",1,7,0,0
"NC_050093.1",1,7,0,0
"NC_050094.1",1,7,0,0
"NC_050095.1",1,7,1,0.00148367952522255
"NC_050068.2",1,8,31,0.000874569768097952
"NC_050069.1",1,8,22,0.00080671775879139
"NC_050070.1",1,8,13,0.000612716218126974
"NC_050071.1",1,8,4,0.000272981641984577
"NC_050072.1",1,8,6,0.000436141600639674
"NC_050073.1",1,8,4,0.000305040799206894
"NC_050074.1",1,8,7,0.00054837446141794
"NC_050075.1",1,8,4,0.000365965233302836
"NC_050076.1",1,8,3,0.000285116897928151
"NC_050077.1",1,8,3,0.000346901017576318
"NC_050078.2",1,8,0,0
"NC_050079.1",1,8,0,0
"NC_050080.1",1,8,3,0.000728862973760933
"NC_050081.1",1,8,2,0.000499625281039221
"NC_050082.1",1,8,1,0.000301204819277108
"NC_050083.1",1,8,0,0
"NC_050084.1",1,8,0,0
"NC_050085.1",1,8,0,0
"NC_050086.2",1,8,0,0
"NC_050087.2",1,8,1,0.000520562207183758
"NC_050088.1",1,8,0,0
"NC_050089.1",1,8,0,0
"NC_050090.1",1,8,1,0.000580383052814858
"NC_050091.1",1,8,0,0
"NC_050092.1",1,8,0,0
"NC_050093.1",1,8,0,0
"NC_050094.1",1,8,0,0
"NC_050095.1",1,8,1,0.00148367952522255
"NC_050068.2",1,9,19,0.000536026632060035
"NC_050069.1",1,9,16,0.000586703824575556
"NC_050070.1",1,9,8,0.000377056134231984
"NC_050071.1",1,9,3,0.000204736231488432
"NC_050072.1",1,9,4,0.000290761067093116
"NC_050073.1",1,9,3,0.00022878059940517
"NC_050074.1",1,9,5,0.000391696043869957
"NC_050075.1",1,9,3,0.000274473924977127
"NC_050076.1",1,9,2,0.0001900779319521
"NC_050077.1",1,9,1,0.000115633672525439
"NC_050078.2",1,9,0,0
"NC_050079.1",1,9,0,0
"NC_050080.1",1,9,3,0.000728862973760933
"NC_050081.1",1,9,2,0.000499625281039221
"NC_050082.1",1,9,0,0
"NC_050083.1",1,9,0,0
"NC_050084.1",1,9,0,0
"NC_050085.1",1,9,0,0
"NC_050086.2",1,9,0,0
"NC_050087.2",1,9,1,0.000520562207183758
"NC_050088.1",1,9,0,0
"NC_050089.1",1,9,0,0
"NC_050090.1",1,9,1,0.000580383052814858
"NC_050091.1",1,9,0,0
"NC_050092.1",1,9,0,0
"NC_050093.1",1,9,0,0
"NC_050094.1",1,9,0,0
"NC_050095.1",1,9,0,0
"NC_050068.2",1,10,10,0.000282119280031597
"NC_050069.1",1,10,12,0.000440027868431667
"NC_050070.1",1,10,7,0.000329924117452986
"NC_050071.1",1,10,1,6.82454104961441e-05
"NC_050072.1",1,10,3,0.000218070800319837
"NC_050073.1",1,10,2,0.000152520399603447
"NC_050074.1",1,10,4,0.000313356835095966
"NC_050075.1",1,10,1,9.14913083257091e-05
"NC_050076.1",1,10,1,9.50389659760502e-05
"NC_050077.1",1,10,1,0.000115633672525439
"NC_050078.2",1,10,0,0
"NC_050079.1",1,10,0,0
"NC_050080.1",1,10,3,0.000728862973760933
