	Dmawii-to-Dcoriacea	Cinsculpta-to-Dcoriacea	Cmccordi-to-Dcoriacea	Pexpansa-to-Dcoriacea	Amarmorata-to-Dcoriacea	Mtuberculata-to-Dcoriacea	Rswinhoei-to-Dcoriacea	Esubglobosa-to-Dcoriacea
gene-MANSC4	I	I	PI	I	I	I	I	I
gene-CMTM4	I	I	I	I	I	I	I	I
gene-XYLB	I	I	I	I	I	I	UL	I
gene-VCPIP1	I	I	I	I	I	I	I	I
gene-GBE1	I	I	I	I	I	PI	I	I
gene-COBL	I	I	I	I	I	I	I	I
gene-RBFOX3	I	I	PI	I	I	I	I	I
gene-PPP2R2B	I	I	I	I	I	I	I	I
gene-BAHD1	I	I	I	I	I	I	I	I
gene-TMEM161B	I	I	I	I	I	I	UL	I
gene-CHD7	PI	I	I	I	I	I	I	I
gene-ACO1	I	I	I	I	I	I	I	I
gene-CTH	I	I	I	I	I	I	UL	I
gene-TULP4	I	I	I	I	I	I	UL	I
gene-LOC119843884	I	I	I	I	I	I	I	I
gene-SETD1A	I	I	UL	I	I	I	UL	I
gene-SLC25A25	I	I	I	I	I	I	I	I
gene-TELO2	I	I	I	I	I	I	I	I
gene-LOC119861011	I	I	I	I	I	I	I	I
gene-KLHDC3	I	I	I	I	I	I	I	I
gene-C6H14orf28	I	I	I	I	I	I	I	I
gene-CRB2	I	I	I	I	I	I	I	I
gene-MYO9A	I	I	I	I	I	I	UL	I
gene-NAP1L1	I	I	I	I	I	I	I	I
gene-USP25	I	I	I	I	I	I	I	I
gene-CMC4	I	I	I	I	I	I	I	I
gene-LOC119849226	PI	L	M	UL	UL	I	I	PI
gene-LOC119862977	I	I	I	I	I	I	I	I
gene-LOC119840926	I	I	I	I	I	I	I	I
gene-LOC119843204	I	I	I	I	I	I	I	I
gene-NCL	UL	I	I	PI	I	I	I	I
gene-LOC119848689	I	I	I	I	I	I	I	I
gene-ARMC8	I	I	I	I	PI	I	I	I
gene-CCDC167	I	I	UL	I	UL	I	I	I
gene-ATP2B2	I	PI	I	PI	I	I	I	I
gene-ANO9	I	UL	UL	I	I	I	UL	I
gene-WDR11	I	UL	I	I	I	I	UL	I
gene-LOC119845752	I	I	I	I	I	I	I	I
gene-MAN1C1	I	I	I	I	PI	I	I	I
gene-EXD1	I	I	I	I	I	I	I	I
gene-AP3M2	I	I	I	I	I	I	I	I
gene-EMC6	I	I	I	I	I	I	I	I
gene-EXOC1L	I	I	I	I	I	I	I	I
gene-ADGRB3	I	PI	I	I	I	I	I	I
gene-SAR1A	I	I	I	I	I	I	PI	I
gene-DPH5	I	I	I	I	I	I	I	I
gene-VIPAS39	I	PI	I	I	PI	I	I	I
gene-C4H20orf27	I	I	I	PI	M	PI	UL	I
gene-LEMD2	M	I	I	I	I	I	I	I
gene-SNRPD2	I	I	I	I	I	I	I	I
gene-EI24	I	I	I	I	PI	I	I	I
gene-KPNA4	I	I	I	I	PI	I	I	I
gene-CPNE8	I	I	I	I	I	I	I	I
gene-ZNF830	I	I	I	I	I	I	I	I
gene-RNF150	I	I	I	I	I	I	I	I
gene-PANK3	I	I	I	I	I	I	I	I
gene-LOC119861618	I	I	I	I	I	I	UL	I
gene-SNAP29	I	PI	I	I	I	I	I	I
gene-NDUFAF1	I	I	I	PI	I	I	I	I
gene-AKT3	I	I	I	I	I	I	UL	I
gene-MTRF1	I	I	I	I	I	I	I	I
gene-KALRN	I	I	I	I	I	I	I	I
gene-KIF2A	I	I	I	I	I	I	I	I
gene-PRRC2C	I	I	I	I	I	I	UL	I
gene-BSN	I	I	I	I	I	I	I	I
gene-TBRG1	I	I	I	I	I	I	UL	I
gene-LOC119842950	I	M	I	L	I	L	I	UL
gene-PRSS16	I	I	PI	I	PI	I	I	I
gene-EMC4	UL	PI	PI	UL	UL	UL	UL	UL
gene-USP10	I	I	I	I	I	I	I	I
gene-ARHGEF6	I	I	I	I	I	I	I	I
gene-MAP2	I	I	I	I	I	I	I	I
gene-PAPOLA	I	I	I	I	I	I	I	I
gene-EFR3B	I	PI	I	I	PI	I	I	I
gene-SLC4A2	L	PM	M	I	L	UL	UL	I
gene-FOCAD	I	I	I	I	I	I	I	I
gene-VAMP7	I	I	I	I	I	I	I	I
gene-LY75	I	I	I	I	I	UL	UL	UL
gene-HNMT	I	I	I	I	I	I	I	I
gene-RBP4	I	I	I	I	I	I	I	I
gene-KIAA1217	I	I	I	I	I	I	I	I
gene-HACE1	PI	I	I	I	I	I	I	I
gene-CNFN	UL	M	UL	I	M	I	I	M
gene-GRK5	I	I	I	I	I	I	I	I
gene-PPP4R3A	I	I	I	I	I	I	I	I
gene-LOC119846576	L	M	L	L	UL	UL	M	UL
gene-LOC122457526	UL	L	UL	L	L	L	L	L
gene-SLC2A8	I	I	I	I	I	I	I	I
gene-ERBIN	I	I	UL	I	I	I	I	I
gene-IKZF4	I	I	I	I	I	I	I	I
gene-DLK1	I	I	I	I	I	I	I	I
gene-SHROOM2	I	I	I	I	I	I	I	I
gene-LOC119844870	I	I	I	I	I	I	UL	I
gene-TFAP4	I	UL	I	PI	I	PI	I	PI
gene-RAVER2	I	I	I	I	I	UL	I	I
gene-STAMBPL1	I	I	I	I	I	I	I	I
gene-GK5	I	I	I	I	I	I	I	UL
gene-ZMIZ1	I	I	I	I	I	I	I	I
gene-LINGO3	I	I	I	I	I	I	I	I
gene-PTPRD	I	I	I	I	I	I	UL	I
gene-PAAF1	I	I	I	I	I	I	I	I
gene-UVSSA	I	I	I	I	I	I	I	I
gene-COL18A1	I	I	PI	I	I	I	UL	I
gene-LOC119852184	I	I	I	I	UL	I	UL	I
gene-TNC	I	I	I	I	I	I	I	I
gene-AFTPH	I	I	I	I	I	I	I	I
gene-FAN1	I	I	I	I	I	I	I	I
gene-ORC6	I	I	I	I	I	I	I	I
gene-ANO3	I	I	I	I	PI	I	I	I
gene-DENND1A	I	I	I	I	I	I	I	I
gene-ABCA4	I	UL	UL	UL	UL	I	I	I
gene-LOC119848469	I	I	I	I	I	I	UL	I
gene-YWHAQ	I	I	I	I	I	I	I	I
gene-COLGALT1	I	I	I	PI	I	I	I	I
gene-LOC119862101	I	UL	I	L	I	M	I	I
gene-WWOX	I	I	I	I	I	I	I	I
gene-NDUFS4	I	I	I	I	I	I	I	I
gene-RXFP3	I	I	I	I	I	I	I	I
gene-CPN2	I	I	I	I	I	I	L	I
gene-FBXO34	I	I	I	I	I	I	I	I
gene-LOC119861282	I	I	I	I	I	I	I	I
gene-ANK2	I	I	I	I	I	I	I	I
gene-COL14A1	PI	I	PI	I	I	I	UL	I
gene-KDM6A	I	I	I	I	I	I	I	I
gene-ASCC1	I	I	I	I	PI	I	I	I
gene-PIAS2	I	I	I	I	I	I	I	I
gene-MBTPS1	I	I	I	I	I	I	I	I
gene-RBM34	I	I	I	I	I	I	I	I
gene-FLVCR1	PI	I	I	I	I	I	I	I
gene-KIAA0895L	I	I	I	PM	I	I	I	I
gene-NOTCH3	PI	PI	PI	UL	UL	I	UL	I
gene-LOC119859865	UL	L	UL	L	UL	L	UL	L
gene-LOC119853231	I	PI	UL	I	I	I	I	I
gene-LOC119848326	I	I	I	I	I	UL	I	I
gene-LOC119844603	I	I	PI	I	I	I	I	I
gene-TMEM88B	I	I	I	I	I	I	I	I
gene-TMCO1	I	I	I	I	I	I	I	I
gene-GAB1	I	I	I	I	I	I	I	I
gene-KIAA0895	I	I	PI	I	I	I	I	I
gene-ST7	I	I	I	I	I	I	I	I
gene-CHMP2B	I	I	I	I	I	I	I	I
gene-LOC119854276	I	I	I	I	I	I	I	I
gene-LOC119841786	I	I	I	I	I	I	I	I
gene-LRRC18	I	I	I	I	I	I	UL	I
gene-CIBAR1	I	I	I	I	I	I	I	I
gene-LOC119841077	I	I	I	I	I	I	I	I
gene-WDFY3	I	I	I	PI	UL	I	UL	I
gene-CNTN4	I	I	I	I	I	I	I	I
gene-LOC122457317	L	L	UL	L	UL	M	L	M
gene-ZNF576	I	I	I	I	I	I	L	I
gene-PSMC3	I	I	I	I	UL	I	I	I
gene-UBR5	UL	I	I	I	I	I	UL	I
gene-LOC119852186	PM	L	I	I	M	UL	UL	UL
gene-FOXS1	I	I	I	I	I	I	I	I
gene-PTPRC	I	I	I	I	I	I	I	I
gene-LOC119841351	I	I	I	L	I	I	UL	I
gene-ZFC3H1	I	UL	I	I	I	I	UL	I
gene-SLC4A7	I	I	I	I	I	I	UL	I
gene-THYN1	I	I	I	I	I	I	I	I
gene-MFSD14A	I	I	I	I	PI	I	I	I
gene-PPP1R16A	I	I	I	I	I	UL	UL	I
gene-KCNC2	I	I	I	I	I	I	L	I
gene-TAB3	I	I	I	I	I	I	I	I
gene-TMEM158	I	I	I	I	I	I	I	I
gene-MICU1	I	I	PI	I	I	I	I	I
gene-ALPK1	I	I	I	I	I	I	I	I
gene-LOC119845843	I	I	I	I	I	I	I	I
gene-SIAE	I	M	PI	I	I	I	L	I
gene-CLCF1	I	I	I	I	M	I	I	I
gene-PPP1R12C	PI	I	PI	PI	L	UL	I	PI
gene-LOC119846129	I	I	I	I	I	I	I	I
gene-FANCL	I	I	I	I	PI	I	I	I
gene-BDNF	I	I	I	I	I	I	UL	I
gene-ADGRL2	I	I	I	I	I	I	I	I
gene-ZNF532	I	I	I	I	I	I	I	I
gene-LOC119861038	L	L	L	L	L	L	L	L
gene-GNPNAT1	PI	I	I	I	I	I	I	I
gene-LOC119850696	L	L	M	M	M	M	L	L
gene-LOC119853920	I	I	I	I	I	I	UL	I
gene-MSI1	I	I	I	I	I	I	I	I
gene-CNTFR	PI	I	I	I	I	I	I	I
gene-CUL5	I	I	I	I	I	I	I	I
gene-VWA3B	I	I	I	I	I	I	I	I
gene-FGFR1OP2	I	I	I	I	PI	I	I	I
gene-CCT6A	I	I	I	I	I	I	I	I
gene-SULF2	I	I	I	I	I	I	I	I
gene-KANSL1	I	I	I	I	I	I	I	I
gene-HABP4	I	I	PI	I	I	I	I	I
gene-CEP63	I	I	I	I	I	I	I	I
gene-CEP89	I	I	I	I	I	I	UL	I
gene-PPCDC	I	I	I	I	I	I	I	I
gene-WDR7	I	PI	I	I	I	PI	I	I
gene-USF1	I	I	I	I	I	I	I	I
gene-ABHD18	UL	UL	UL	UL	UL	I	I	I
gene-SMC2	I	I	I	I	I	I	UL	I
gene-CDK14	I	I	I	I	I	I	I	I
gene-PPP2R5E	I	I	I	I	I	I	I	I
gene-MNS1	I	I	I	I	I	I	I	I
gene-BEST3	I	I	I	UL	I	I	I	I
gene-FLI1	I	I	I	I	I	I	UL	I
gene-IST1	I	I	I	I	I	I	UL	I
gene-FIP1L1	I	I	I	I	I	I	I	I
gene-LOC119862726	L	I	I	I	L	L	UL	L
gene-MRPS17	I	I	I	I	I	I	I	I
gene-SUN1	I	I	I	I	I	I	I	I
gene-MED22	I	I	I	I	I	I	I	I
gene-CAPRIN1	I	I	I	I	I	I	I	I
gene-BTF3	I	I	I	I	I	I	I	I
gene-SON	PI	I	UL	PI	UL	PI	I	I
gene-LOC119856543	PI	PG	PM	UL	UL	UL	UL	UL
gene-HEATR5B	I	I	I	I	I	I	I	I
gene-AKAP9	I	PI	I	I	I	I	I	I
gene-NCAM1	I	I	I	I	I	I	I	I
gene-CHCHD7	I	I	I	I	I	I	I	I
gene-LRRFIP1	I	I	PI	I	I	I	I	I
gene-TWF2	I	I	I	I	I	I	I	I
gene-TEX10	I	I	PI	I	I	I	UL	I
gene-LOC119855380	I	I	I	I	I	I	UL	I
gene-TRAK2	I	I	I	I	I	I	I	I
gene-SPAG1	I	I	I	I	UL	I	I	I
gene-RPH3A	I	I	I	I	I	I	UL	I
gene-PMEPA1	I	I	I	I	I	I	I	I
gene-ROCK1	I	I	I	I	I	I	I	I
gene-ZSWIM9	UL	UL	UL	UL	UL	I	L	UL
gene-BLZF1	I	I	I	I	I	I	UL	I
gene-FAM131B	I	I	I	I	I	I	I	I
gene-CEP170	I	I	I	I	I	I	I	I
gene-LOC119843028	UL	UL	L	L	L	PI	I	L
gene-MYRF	I	I	I	I	I	I	I	I
gene-SASH1	I	I	I	I	I	I	I	I
gene-NAGK	I	I	I	I	I	I	I	I
gene-LOC119854023	I	I	I	I	I	I	UL	I
gene-EVA1B	I	I	I	I	I	I	I	I
gene-LOC119843048	I	I	L	UL	I	I	I	UL
gene-BICD2	I	UL	UL	UL	UL	UL	UL	UL
gene-DLC1	I	I	I	I	I	I	I	I
gene-DHX57	I	I	I	I	I	I	I	I
gene-RORC	I	I	I	I	I	I	UL	I
gene-CAPS2	I	I	I	I	I	UL	I	I
gene-HS3ST4	I	I	PI	PI	I	PI	UL	PI
gene-TFR2	UL	M	UL	I	PI	PI	UL	I
gene-PDLIM7	I	I	I	I	I	I	I	I
gene-SYNRG	I	I	I	I	I	I	I	I
gene-TRAF2	I	I	I	I	I	I	I	I
gene-TK2	I	I	I	I	I	I	I	I
gene-COL26A1	I	I	I	I	I	I	I	I
gene-TLE3	I	I	I	PI	I	I	I	I
gene-CIZ1	I	I	I	I	I	I	I	I
gene-ATP6V0A2	I	I	I	I	I	I	UL	I
gene-TRAFD1	I	I	I	I	I	I	I	I
gene-LOC119847717	I	I	UL	I	PM	PI	L	PI
gene-NRIP1	I	I	I	I	I	I	I	I
gene-RIMBP2	I	I	I	I	I	I	I	I
gene-RETSAT	I	I	PI	I	I	I	I	I
gene-CRPPA	I	I	I	I	I	I	UL	I
gene-LOC119849851	I	I	I	M	I	M	I	M
gene-UFSP2	I	I	I	I	I	I	I	I
gene-NIN	I	I	I	I	I	I	I	I
gene-BPTF	I	I	I	I	I	I	I	I
gene-NCALD	I	I	I	I	I	I	I	I
gene-GRIP1	I	I	PI	I	I	I	I	I
gene-PLA2G6	I	I	I	I	I	I	I	I
gene-SPNS3	I	I	I	I	I	I	I	I
gene-TMEM260	I	I	I	I	I	I	I	I
gene-BORCS6	I	I	I	I	I	I	I	I
gene-GRAMD1A	UL	UL	UL	I	UL	I	L	I
gene-MAP4K3	I	I	PI	PI	I	I	I	I
gene-TRIM67	I	I	I	I	I	I	UL	I
gene-TMEM109	I	I	I	I	I	I	I	I
gene-UNC5A	L	PI	PI	I	PI	I	UL	I
gene-TRAF3IP1	I	I	I	I	PI	I	I	I
gene-OGFOD3	I	I	I	I	PI	I	I	I
gene-HYPK	I	M	I	I	I	I	I	I
gene-BMPR1A	I	I	I	I	I	I	I	I
gene-LOC119844393	I	PI	I	I	I	I	I	I
gene-BTBD7	I	I	I	I	I	I	I	I
gene-TENT5A	I	I	I	I	I	I	I	I
gene-PDPR	I	I	I	I	I	I	I	I
gene-LZTS2	I	I	PI	I	I	I	I	I
gene-POLE3	I	I	I	I	I	I	I	I
gene-LOC119851571	I	I	I	I	I	I	I	I
gene-ABI2	I	I	I	I	I	I	I	I
gene-DUSP3	I	I	I	I	I	I	I	I
gene-GRIA4	I	I	I	I	I	I	I	I
gene-COL12A1	I	PI	I	I	I	I	UL	I
gene-TMEM9	PI	I	I	I	I	I	I	PI
gene-LDB1	I	PI	I	I	PI	I	I	I
gene-FAS	I	I	I	I	I	I	I	I
gene-PGM3	I	I	I	I	I	I	I	I
gene-STRADB	I	I	I	I	I	I	I	I
gene-DNMT3B	UL	UL	UL	UL	UL	I	UL	UL
gene-LOC119848550	UL	L	PI	I	I	I	I	I
gene-TTC21A	I	I	I	I	I	UL	I	I
gene-LOC119849418	M	PG	M	M	I	M	L	L
gene-TCF7	I	I	I	PI	I	I	I	I
gene-SRRM1	I	I	I	I	I	I	UL	I
gene-SUPT4H1	I	PI	I	I	I	I	I	I
gene-LOC119842144	I	I	I	I	I	I	I	I
gene-OLFM1	I	I	I	I	I	I	UL	I
gene-LOC119841360	I	I	I	I	I	I	I	I
gene-SYT17	I	I	I	I	I	I	I	I
gene-COPB1	I	I	I	I	I	I	I	I
gene-KLF4	PI	I	I	I	I	I	UL	I
gene-LOC122456552	UL	I	L	M	UL	L	UL	L
gene-MMACHC	PI	I	I	UL	I	UL	I	UL
gene-NELL1	I	I	I	I	I	I	I	I
gene-CASS4	I	I	I	I	I	I	I	I
gene-AKNAD1	I	I	I	I	I	I	I	I
gene-KANK1	I	I	I	I	I	I	I	I
gene-UBXN7	I	I	I	I	I	I	I	I
gene-UNC80	I	I	I	I	PI	I	UL	I
gene-PPP6R1	UL	I	L	I	L	I	UL	UL
gene-LOC119841128	I	I	I	I	I	I	I	I
gene-MVK	I	I	I	I	I	I	I	I
gene-LOC119842486	I	I	I	I	I	I	I	I
gene-ALG1	I	I	I	I	I	I	I	I
gene-ARID1B	PI	I	I	I	I	I	I	I
gene-IGDCC4	I	I	I	I	I	I	UL	I
gene-LOC119842540	I	I	I	I	I	L	I	I
gene-TMC6	I	I	I	I	I	I	UL	I
gene-MPP1	I	I	I	I	I	I	I	I
gene-IRAG2	I	I	I	I	I	I	UL	I
gene-XYLT2	I	I	I	I	I	I	I	I
gene-TBXA2R	I	I	PI	I	I	I	I	I
gene-LOC119851370	M	PI	PI	PI	PI	PI	PI	PI
gene-LOC119847679	I	I	I	I	I	I	I	I
gene-LOC119843367	L	L	UL	I	UL	I	UL	I
gene-RASL12	I	I	I	I	I	I	I	I
gene-LOC119850969	I	I	I	I	I	I	UL	I
gene-LOC119853527	UL	I	I	UL	I	UL	I	UL
gene-PUS1	I	I	I	I	PI	I	I	I
gene-ANKFN1	I	PI	I	I	I	I	I	I
gene-DDX5	I	I	I	I	UL	I	I	I
gene-LMBRD2	I	I	I	I	I	I	I	I
gene-CEP44	I	I	I	I	I	I	I	I
gene-LOC119861233	I	I	L	M	I	M	I	L
gene-CTBP1	I	I	I	I	I	I	I	I
gene-GTF2A1	I	I	I	I	I	I	I	I
gene-GSE1	I	I	I	I	I	I	UL	I
gene-LOC119848490	I	I	PI	I	UL	PI	UL	I
gene-MTMR11	I	I	I	I	I	I	UL	I
gene-RAB30	I	I	I	I	I	I	I	I
gene-ZFHX2	UL	PG	PG	L	PI	I	L	M
gene-RFXANK	I	I	I	I	I	I	I	I
gene-ZFPL1	I	I	I	I	I	I	I	I
gene-RB1CC1	I	I	PI	I	I	I	I	I
gene-TRIB2	I	I	I	I	I	I	I	I
gene-GPM6B	I	I	I	I	I	I	I	I
gene-NVL	I	I	I	I	I	I	I	I
gene-LOC119847973	I	I	UL	I	UL	I	UL	M
gene-NRG4	I	I	PI	I	I	I	I	I
